Name,,,Div.,Gen.,Ovr.,Swim,Bike,Run,Overall,DPI
Helder Dos SantosM25-29,BR,#816,61,692,829,1:01:14,3:48:14,2:49:29,7:49:38,68.3
Vitor AlvarengaM35-39,BR,#372,69,261,282,40:16:00,2:51:32,1:53:29,5:31:49,87.3
Rafael Cabral Ribeiro Da SilvaM40-44",BR,#646,2,11,11,32:11:00,2:24:27,1:21:43,4:24:02,99.6
Marcelo Henrique Horst De BritoM25-29,BR,#817,34,385,433,48:58:00,2:57:43,1:56:22,5:52:56,83.1
Alan LimaM40-44,BR,#528,4,27,29,35:11:00,--:--,--:--,4:36:00,
Marcella TchehF45-49,BR,#1159,5,40,400,52:34:00,3:01:21,1:46:29,5:48:23,95.9
Fabio Sampaio Garcez RibeiroM25-29,BR,#851,10,88,93,43:01:00,2:34:56,1:33:58,4:57:59,92.6
Marcelo Augusto De Oliveira FilhoM55-59,BR,#966,6,244,264,39:14:00,2:53:53,1:50:35,5:28:34,92.9
Luis TavaresM45-49,BR,#727,70,551,633,49:14:00,2:59:53,2:25:22,6:24:34,79.7
Jose Elio SilvaM45-49,BR,#664,71,559,642,45:18:00,3:54:47,1:40:07,6:26:14,79.5
Raphael Messias LelesM35-39,BR,#283,163,661,788,56:55:00,3:30:43,2:19:28,7:06:58,73.8
Paulo Henrique Cadorin De CastroM35-39,BR,#269,26,106,112,38:56:00,2:34:58,1:37:10,5:02:18,92.6
Gabriel Luiz De Mendonça AugustoM30-34,BR,#216,89,498,565,1:00:42,2:51:57,2:07:58,6:12:57,80.7
Pablo Andres SubizaM40-44,AR,#619,52,264,286,42:32:00,3:01:12,1:41:04,5:32:59,86.4
Diego PeronaM45-49,UY,#721,29,308,341,50:30:00,2:55:03,1:47:51,5:40:30,86.3
Romulo MarczukM45-49,BR,#662,38,361,402,54:04:00,2:56:28,1:48:43,5:48:43,85
Andrea FolegattiF40-44,BR,#1145,8,50,447,51:02:00,3:07:48,1:45:08,5:54:36,94.9
João Ricardo De Araújo SilvaM35-39,BR,#250,111,442,501,47:39:00,3:03:18,1:57:16,6:01:53,82.5
Priscila Cupertino De AndradeF35-39,BR,#1088,17,65,544,42:28:00,3:15:10,2:03:49,6:09:12,85.9
Simon Metson-BailieM40-44,GB,#607,136,576,665,1:01:39,3:09:33,2:05:14,6:30:24,77.7
Carlos Ronie LucianoM45-49,BR,#697,6,107,113,35:47:00,2:42:53,1:40:11,5:02:54,92.7
Fabio Jose Bordallo PintoM40-44,BR,#510,142,614,713,47:30:00,3:14:28,2:29:19,6:40:58,76.3
Jose GonzalezM40-44,US,#1241,124,556,638,51:25:00,3:21:50,1:57:12,6:25:45,78.4
Renato Motta Vaz De CarvalhoM45-49,BR,#687,4,90,96,33:41:00,2:39:21,1:38:23,4:58:24,93.6
Marcelo Crhis CorreaM45-49,BR,#743,7,134,143,41:55:00,2:37:54,1:39:52,5:07:59,91.8
pablo ientilezzaM40-44,AR,#600,31,149,159,39:19:00,2:41:17,1:42:02,5:11:11,90.2
Luis Henrique OhdeMPRO,BR,#16,7,8,8,26:08:00,2:17:29,1:33:58,4:21:16,94.6
Eduardo JurcevicM40-44,BR,#550,38,185,196,35:22:00,2:40:03,1:53:04,5:17:45,89
Leandro Batalha SoaresM35-39,BR,#319,108,428,487,51:25:00,3:07:23,1:47:48,5:59:59,82.8
Caio Van DeursenM30-34,BR,#242,98,553,635,44:00:00,3:16:45,2:16:18,6:25:12,79
Emmerson Badaro CardosoM35-39,BR,#1209,21,83,88,38:56:00,2:40:04,1:33:45,4:57:26,93.5
Ricardo CiconeloM45-49,BR,#742,67,546,627,48:29:00,3:02:39,2:23:32,6:22:35,80
Rafael ToyoharaM30-34,BR,#176,74,376,422,52:29:00,3:09:43,1:36:20,5:50:49,84
Federico Carlos DellamaggioreM45-49,AR,#702,49,436,495,46:07:00,2:55:54,2:11:06,6:00:41,83.1
Marcelo Augusto Fanti de BarrosM35-39,BR,#1214,47,171,181,50:22:00,2:36:11,1:40:26,5:13:53,90.4
