Name,,,Div.,Gen.,Ovr.,Swim,Bike,Run,Overall,DPI
Edmar Alves MartinsM60-64,BR,#1683,4,513,552,37:01:00,2:34:40,1:53:10,5:13:55,97.4
Iuri Vinuto JosinoMPRO,BR,#9,4,4,4,25:11:00,2:10:02,1:14:23,3:52:38,98.1
Arnaldo Laporte JuniorM50-54,BR,#1648,4,176,182,30:38:00,2:30:08,1:37:58,4:47:45,95.5
Luiz Felipe MouraM60-64,BR,#1699,5,594,645,38:26:00,2:44:05,1:48:47,5:18:59,96.6
Regina Gogolla KalmusF55-59,BR,#1423,5,239,1355,48:24:00,3:27:40,2:22:23,6:51:26,87.1
Julian Marcelino AraujoF18-24,BR,#1147,5,251,1395,57:57:00,3:56:37,2:37:08,7:38:51,79.1
Cristiano Duarte MouraM50-54,BR,#1611,5,280,289,29:30:00,2:30:40,1:50:16,4:56:24,93.8
Gustavo Gaspar AlvesM18-24,BR,#1434,5,297,306,32:27:00,2:30:54,1:47:02,4:57:18,94.3
Mayra SouzaF50-54,BR,#1421,5,151,1122,47:14:00,3:01:06,2:02:33,6:02:01,95.4
Azarias Feitosa JuniorM40-44,BR,#310,5,21,21,27:23:00,2:18:03,1:25:30,4:15:42,99.5
Cassiana Costa CurtaF45-49,BR,#1387,5,45,579,38:29:00,2:46:30,1:42:47,5:15:15,97
Giuseppe MusellaM55-59,BR,#1670,5,318,328,30:56:00,2:31:44,1:49:40,4:58:16,93.1
Sayonara MonçãoF35-39,BR,#1299,5,31,503,42:21:00,2:43:09,1:39:40,5:10:52,96.7
Silvia Helena Barbosa PradoF40-44,BR,#1360,5,24,442,35:17:00,2:45:14,1:39:20,5:06:26,94.7
Mauricio Antonelli LehoczkiM45-49,BR,#435,5,94,96,30:52:00,2:32:45,1:23:45,4:32:39,98.7
Rodrigo LoboM35-39,BR,#876,5,25,25,27:06:00,2:20:20,1:26:14,4:18:15,99.2
Mayla MoraesF25-29,BR,#1170,5,32,517,38:07:00,2:41:03,1:47:14,5:11:35,96.5
Bruna MahnFPRO,BR,#24,5,14,381,27:44:00,2:59:42,1:31:04,5:02:29,91.4
Hellen Lima FanteF30-34,BR,#1228,5,18,402,36:25:00,2:47:35,1:34:12,5:03:57,96.4
NAURO VINICIUS JASPERM25-29,BR,#1586,5,35,37,28:59:00,2:21:59,1:25:01,4:21:46,98
Rafael RamosM30-34,BR,#1142,5,37,39,25:44:00,2:24:50,1:27:14,4:22:30,98.8
Luis Henrique OhdeMPRO,BR,#8,5,5,5,23:54,2:10:14,1:22:12,3:59:47,96.5
Nadja Patricia Novello ColvaraF55-59,BR,#1426,6,248,1391,41:40:00,3:35:09,3:01:29,7:32:04,81.8
Luca GlaserF25-29,BR,#1186,6,50,643,30:23:00,2:47:04,1:56:31,5:18:54,95.2
André Aragão Martins VieiraM45-49,BR,#366,6,135,140,32:37:00,2:31:39,1:33:05,4:43:08,96.6
Samira BehrendtF40-44,BR,#1349,6,30,496,38:57:00,2:46:20,1:39:12,5:10:42,93.9
Bruno LessaM18-24,BR,#1432,6,308,318,34:16:00,2:45:47,1:30:22,4:57:48,94.2
Tatiana LuebkeF45-49,BR,#1366,6,48,612,39:45:00,2:45:06,1:45:24,5:16:46,96.7
Ana Paula de MatosF30-34,BR,#1245,6,20,427,34:52:00,2:38:11,1:46:43,5:05:27,96.1
Lucas ToledoM30-34,BR,#1573,6,38,40,30:05:00,2:22:24,1:26:17,4:22:58,98.7
José Henrique Silveira PaivaM55-59,BR,#1674,6,432,458,32:31:00,2:47:20,1:41:25,5:07:42,91.3
Santiago AscencoMPRO,BR,#2,6,6,6,25:43:00,2:08:33,1:24:05,4:01:35,96.1
Jorge Herbert MayerleM60-64,BR,#1693,6,657,717,32:48:00,2:45:10,1:56:21,5:23:33,95.8
Edith GondinF50-54,BR,#1409,6,178,1192,37:49:00,3:21:50,2:03:15,6:10:22,94.1
Rafael Vargas CorreaM35-39,BR,#1097,6,28,29,28:58:00,2:19:22,1:25:37,4:19:13,99
Ben-Hur Silva De Albergaria FilhoM50-54,BR,#388,6,288,297,35:43:00,2:37:26,1:35:33,4:56:49,93.7
Rangel RodriguesM40-44,BR,#124,6,22,22,30:56:00,2:20:06,1:19:38,4:16:32,99.4
Patricia Peixoto SimonF35-39,BR,#1284,6,38,548,32:40:00,2:45:06,1:48:12,5:13:47,96.1
Rafael PassosM25-29,BR,#1448,6,36,38,27:16:00,2:29:33,1:21:35,4:22:12,97.9
Francisco OlianiM60-64,BR,#1697,7,1050,1244,43:20:00,3:10:10,2:06:11,6:17:06,87.8
Marcela RasuckF25-29,BR,#1159,7,61,723,39:36:00,2:57:46,1:41:26,5:24:00,94.4
Gabriel AntunesM18-24,BR,#1467,7,359,372,27:29:00,2:45:00,1:43:45,5:02:05,93.4
Carlos KornfeldM50-54,BR,#1651,7,298,308,32:37:00,2:37:30,1:40:55,4:57:24,93.6
Ana Clara Vale Darwich ApgauaF30-34,BR,#1246,7,22,430,30:03:00,2:46:12,1:41:43,5:05:35,96.1
Danusa Silva MenezesF50-54,BR,#1389,7,222,1311,38:09:00,3:21:31,2:23:35,6:34:32,90.6
Marcelo TavaresM35-39,BR,#690,7,29,30,24:16:00,2:22:27,1:27:37,4:19:39,98.9
Eduardo LassMPRO,BR,#15,7,7,7,23:52,2:13:33,1:22:29,4:03:27,95.7
Cintia Barbosa Reis GuimaraesF35-39,BR,#1194,7,41,556,33:28:00,2:49:54,1:44:40,5:14:04,96.1
Diego RachadelM25-29,BR,#1561,7,41,43,28:45:00,2:23:16,1:27:01,4:23:34,97.6
Flavia Morinigo De O. OrcasF40-44,BR,#1332,7,58,702,36:24:00,2:57:01,1:43:30,5:22:32,91.8
Dimas MarchiM45-49,BR,#364,7,141,146,30:14:00,2:29:48,1:37:28,4:43:30,96.5
Fernanda Loper CorrêaF45-49,BR,#1370,7,51,644,29:29:00,2:43:01,1:58:29,5:18:58,96.3
Fabio FantozziM40-44,BR,#158,7,43,45,30:13:00,2:16:58,1:31:09,4:23:47,97.7
Guilherme Dias RodriguesM30-34,BR,#1139,7,39,41,28:30:00,2:22:43,1:27:28,4:23:27,98.6
Witney JuniorM55-59,BR,#1614,7,463,491,33:55:00,2:42:50,1:46:43,5:10:21,90.8
Cristiane Serradourada Moura BorgesF45-49,BR,#1341,8,56,680,38:13:00,2:49:39,1:45:03,5:21:05,96
Gabriel KleinMPRO,BR,#10,8,8,8,26:54:00,2:18:47,1:14:13,4:03:47,95.6
Gabriel De Moraes PinheiroM25-29,BR,#1477,8,44,46,31:34:00,2:21:46,1:24:21,4:23:48,97.6
Rafael Riveros ArceM50-54,CL,#373,8,326,338,34:15:00,2:32:58,1:45:40,4:59:02,93.3
Constancio AndréM30-34,BR,#995,8,40,42,31:13:00,2:22:41,1:24:03,4:23:30,98.6
Eduardo Felipe FrançaM18-24,BR,#1449,8,408,429,29:29:00,2:37:25,1:52:46,5:05:34,92.7
Wagner Siqueira RomãoM40-44,BR,#209,8,45,47,27:48:00,2:24:42,1:27:53,4:24:12,97.7
Glória TanferreF25-29,BR,#1167,8,62,728,33:58:00,2:49:00,1:55:23,5:24:06,94.3
Marcus Vinicius Macedo Dos SantosM35-39,BR,#839,8,30,31,29:00:00,2:22:16,1:23:17,4:19:55,98.9
Melina Guedes CavalcantiF40-44,BR,#1357,8,67,763,37:49:00,2:45:36,1:56:19,5:26:24,91.1
Paula MacchiF30-34,BR,#1229,8,27,471,33:12:00,2:36:41,1:53:41,5:08:43,95.5
Christiano AbreuM45-49,BR,#429,8,155,160,30:44:00,2:32:32,1:35:29,4:45:25,96.2
Raphaela Maia RussiF35-39,BR,#1288,8,43,576,36:23:00,2:49:00,1:41:18,5:14:56,95.9
Maria MattosF50-54,BR,#1416,8,231,1330,48:55:00,3:27:21,2:13:51,6:40:40,89.7
Helio Ricon De Freitas JuniorM60-64,BR,#1685,8,1077,1292,42:07:00,3:24:36,2:04:54,6:26:56,86.5
Oscar Capistrano MagalhaesM55-59,BR,#1709,8,470,500,34:14:00,2:42:14,1:44:11,5:10:48,90.7
Manuela Lereno MachadoF30-34,BR,#1190,9,29,495,34:38:00,2:48:35,1:39:24,5:10:37,95.2
Carlos Augusto Costa FernandesM25-29,BR,#1497,9,46,48,31:25:00,2:24:50,1:23:17,4:24:33,97.4
Ana Karina ScarlatoF40-44,BR,#1292,9,72,793,42:11:00,2:48:27,1:51:06,5:29:07,90.7
