Name,,,Div.,Gen.,Ovr.,Swim,Bike,Run,Overall,DPI
Pablo PerezM45-49,UY,#1121,69,426,485,42:45:00,2:53:11,1:54:56,5:35:02,86.5
Federico AlvarezM30-34",AR,#1078,2,4,4,28:57:00,2:22:48,1:21:08,4:15:05,99.7
Pablo VitaleM45-49,AR,#980,130,705,849,45:07:00,3:25:49,2:15:09,6:30:58,78.1
Guillermo SpinatelliM50-54,UY,#916,70,680,805,46:24:00,3:04:42,2:20:22,6:18:48,82.4
Marcelo GonzalezM45-49,UY,#1047,133,720,870,44:41:00,3:33:28,2:11:49,6:41:14,76.8
Hernan SlullitelM45-49,AR,#911,42,335,372,41:01:00,2:53:48,1:42:45,5:23:40,88.4
Mateo Bustos PecautM18-24",AR,#462,3,13,13,30:17:00,2:21:28,1:24:12,4:18:18,96.9
Pamela Carolina Rojas IbarraF25-29,CL,#271,9,102,718,44:04:00,3:08:47,2:07:48,6:05:07,86.5
Lucas Xavier LeguizamonM30-34,AR,#694,33,118,119,33:13:00,2:36:21,1:34:44,4:47:34,92.8
Manuel Lopez marullM35-39,AR,#712,84,338,376,38:05:00,2:54:22,1:48:01,5:24:16,85.9
Camilo JimenezM40-44,CL,#121,67,290,317,39:35:00,2:45:37,1:46:59,5:16:56,89.1
Nicolas ArballoM40-44,AR,#400,35,170,178,34:54:00,2:35:59,1:42:11,4:56:05,92.9
Pablo ReyesM45-49,UY,#268,31,235,252,37:02:00,2:40:42,1:48:07,5:09:40,90.9
Eduardo MartinezM40-44,CL,#246,73,309,338,39:53:00,2:44:20,1:51:36,5:19:43,88.6
Felix ZylberglajtM45-49,UY,#67,7,61,61,35:15:00,2:25:37,1:34:00,4:37:17,97.3
Juan Pablo TolariM40-44,AR,#279,96,414,468,39:19:00,2:52:04,1:57:44,5:32:58,86.4
Gabriel LingeriM30-34,UY,#704,18,55,55,30:32:00,2:30:22,1:32:16,4:35:26,95.3
Stefano Cuturi AliserisM35-39,UY,#28,21,86,86,31:06:00,2:33:09,1:33:04,4:42:57,93.6
Fernando ChampomierM30-34,AR,#80,12,34,34,32:50:00,2:26:40,1:26:44,4:28:51,96.7
Carlos Alexandre Garcia FilhoM35-39,BR,#616,63,250,270,30:50:00,2:40:15,1:57:30,5:11:54,88.1
Santiago Cabrera GianottiM35-39,UY,#466,62,248,267,33:51:00,2:47:02,1:46:15,5:11:05,88.2
Pablo JaimeM45-49,AR,#668,126,689,818,46:29:00,3:17:16,2:13:33,6:22:03,79.3
Victor PintoM30-34,BR,#815,56,312,341,34:05:00,2:49:30,1:52:39,5:20:12,86.7
Dereck DougallM45-49,AR,#210,85,518,597,38:20:00,3:01:43,2:01:30,5:47:39,84.4
Ruy FuertesM30-34,CL,#596,38,134,135,32:47:00,2:36:23,1:37:51,4:49:40,92.3
Diego Genta ZipitríaM40-44,UY,#621,102,441,501,41:07:00,2:59:45,1:51:48,5:36:24,85.9
Maria Belen AlgortaF25-29,UY,#374,8,74,573,43:29:00,2:57:34,1:59:57,5:43:47,89.9
Milbana PietroniF30-34,AR,#1039,15,116,779,47:46:00,3:34:38,1:48:44,6:14:41,86.1
Cristian EnglebienneM50-54,AR,#325,31,372,412,36:07:00,2:50:15,1:57:38,5:27:58,90.3
Raul XavierM25-29,BR,#985,28,448,510,40:58:00,3:01:54,1:51:03,5:38:00,85.2
92320513369 LuceroPC",AR,#11,1,726,877,50:08:00,4:04:17,1:37:14,6:44:13,
Emergencia UnoM35-39,UY,#1035,121,521,600,41:28:00,3:09:28,1:51:56,5:48:17,82
Fabricio Leonardo StocchettiM45-49,AR,#63,12,109,109,43:07:00,2:30:00,1:28:44,4:44:52,95.7
Alejandro CermeleM50-54,AR,#493,8,165,171,38:26:00,2:34:22,1:39:07,4:55:31,96.2
Patricia NiellaF45-49,PY,#1015,26,103,719,54:18:00,3:07:02,1:58:04,6:05:09,87.6
Marcelo ConelliM50-54,AR,#84,10,171,179,35:45:00,2:39:57,1:37:36,4:56:26,96
Juan Pellegrini BenítezM25-29,UY,#800,22,255,275,40:19:00,2:41:35,1:46:34,5:12:27,89.5
Leonardo PerezM45-49,UY,#807,105,588,679,42:10:00,3:03:12,2:10:07,5:59:26,82.6
Isaac Castillo FloresM30-34,CL,#488,66,398,448,43:14:00,2:50:29,1:52:49,5:31:03,84.8
Gina GuerreroF35-39,CL,#230,26,130,819,43:09:00,3:03:35,2:31:13,6:22:04,84.1
