Name,,,Div.,Gen.,Ovr.,Swim,Bike,Run,Overall,DPI
Maria Claudia Lyra De SouzaF45-49,BR,#1328,4,19,315,35:49:00,2:48:54,1:47:03,5:15:13,97.5
Ana YepesF45-49,VE,#1308,32,208,1088,51:45:00,3:17:31,2:42:51,6:59:09,81.4
Regiane TsamtsisF45-49,BR,#1334,27,177,984,44:05:00,3:11:36,2:28:30,6:31:38,85.1
Paola Fabiana BielonsF45-49,AR,#1330,34,212,1099,50:03:00,3:34:14,2:25:48,7:03:47,80.8
Angela UshiwataF45-49,BR,#1312,31,203,1071,50:19:00,3:26:57,2:29:20,6:55:18,81.9
Raquel Ferreira De MoraesF45-49,BR,#1333,6,34,453,42:54:00,2:48:50,1:48:29,5:28:14,95.2
Andrea PeixotoF45-49,BR,#1310,20,142,883,44:00:00,3:04:17,2:19:41,6:15:36,87.5
Marcela Alejandra Ahumada GuerreroF45-49,CL,#1327,30,195,1035,40:14:00,3:19:43,2:36:06,6:42:54,83.6
Vanessa RauppF45-49,BR,#1340,22,150,903,44:11:00,3:00:04,2:22:23,6:17:50,87.1
Ana Paula Miraglia Do ValF45-49,BR,#1305,28,187,1012,38:33:00,3:08:12,2:43:01,6:36:22,84.5
Andrea RizzoF45-49,BR,#1362,33,211,1097,40:17:00,3:01:57,3:10:27,7:03:20,80.9
Daniela PereiraF45-49",BR,#1317,3,14,269,34:33:00,2:41:55,1:47:16,5:08:48,98.7
Patricia MigdalF45-49,AR,#1331,37,227,1132,37:51:00,3:28:41,3:08:52,7:21:21,78.6
Monica KneipF50-54,BR,#1355,6,132,862,42:19:00,3:00:18,2:21:21,6:12:10,93.3
Paula FantiF50-54",AR,#1359,1,40,483,38:36:00,2:48:36,1:58:58,5:31:14,99.8
Marcia LacerdaF50-54,BR,#1352,7,151,911,48:05:00,3:12:22,2:10:49,6:18:34,92.3
Loreto Santa CruzF50-54,CL,#1348,10,183,1003,47:59:00,3:03:25,2:36:10,6:34:10,90.1
Lucia GliocheF50-54,BR,#1349,14,237,1164,44:14:00,3:26:19,3:30:23,7:49:50,80.7
clebioneide Sabino FerreiraF50-54,BR,#1346,11,193,1025,43:49:00,3:32:15,2:09:49,6:39:41,89.4
Monica Lucia Barbosa NicacioF50-54,BR,#1356,9,164,940,41:30:00,3:01:41,2:29:00,6:23:03,91.7
Patricia Mendes MussyF50-54,BR,#1358,8,152,912,1:01:00,3:05:37,2:04:36,6:18:38,92.3
Anelise BorgesF50-54,BR,#1345,13,234,1153,50:49:00,3:44:53,2:56:10,7:40:48,81.8
Sofia SarconaF50-54,AR,#1360,12,200,1060,46:48:00,3:33:41,2:23:50,6:51:48,87.8
Marilza Candida SaldanhaF50-54,BR,#1354,5,128,854,37:42:00,3:10:14,2:17:39,6:11:13,93.4
Ivani Vitória Dos Santos SouzaF50-54,BR,#1347,4,108,785,46:32:00,3:12:00,1:56:59,6:01:53,94.8
Andrea CardosoF50-54",BR,#1343,2,61,590,37:35:00,2:50:53,2:08:53,5:42:18,97.9
Mahêva CamposF50-54,BR,#1351,15,239,1167,48:28:00,3:47:46,3:16:22,8:02:36,79.3
Nicole AljaroF50-54",CL,#1357,3,82,683,39:59:00,2:58:22,2:08:06,5:51:28,96.5
Regina Gogolla KalmusF55-59",BR,#1364,2,232,1151,52:17:00,3:37:24,2:56:54,7:39:44,84.5
Sabina BarrellaF55-59",AR,#1366,1,90,712,42:47:00,2:56:41,2:06:55,5:54:04,100
Themis Mendonça Brandão VilelaF60-64",BR,#1368,1,209,1089,51:29:00,3:21:35,2:33:25,6:59:20,100
Mateus RobbiM18-24",BR,#728,3,309,331,33:49:00,2:28:13,2:10:00,5:16:40,95.7
Bruno LessaM18-24",BR,#721,1,172,179,35:33:00,2:34:32,1:41:39,4:57:01,99.3
Hiago MedeirosM18-24,BR,#726,4,337,362,36:36:00,2:43:30,--:--,5:20:05,
Ignacio Salvatierra Velez OcampoM18-24,BO,#727,6,474,522,43:08:00,2:44:53,2:00:08,5:36:01,92.5
Celso Galliza JuniorM18-24",BR,#722,2,204,213,34:43:00,2:40:48,1:39:13,5:00:58,98.5
Vinícius SilvaM18-24,BR,#729,9,808,984,37:18:00,3:12:53,2:35:38,6:31:38,84.2
