Name,,,Div.,Gen.,Ovr.,Swim,Bike,Run,Overall,DPI
Lorena Castro GuineaF25-29,MX,#570,9,32,369,41:25:00,2:47:08,1:53:14,5:28:02,92.4
andrea madridF25-29",CO,#82,2,10,119,34:43:00,2:28:16,1:49:57,4:59:40,97.7
Gabriela Del Mar Guerrero PuelloF25-29,CO,#330,57,280,1528,45:13:00,3:17:36,2:45:10,6:57:45,78.9
Natalia MarinF25-29,CO,#589,59,305,1589,44:25:00,3:13:11,3:01:46,7:07:14,77.7
Natalia Casas PáezF25-29,CO,#569,44,208,1296,54:04:00,3:09:25,2:20:33,6:34:04,82.1
María Isabel De La Mora GórrizF25-29,MX,#574,51,255,1447,39:26:00,3:22:52,2:36:54,6:48:33,80.1
Lina MendozaF25-29,CO,#591,23,127,954,49:04:00,2:56:23,2:13:17,6:07:04,86
Laura Palacios RestrepoF25-29,CO,#603,50,245,1412,50:10:00,3:05:35,2:39:00,6:44:21,80.7
Laura Karina Reyes VelaF30-34,CO,#695,89,309,1598,58:31:00,3:28:04,2:30:34,7:08:24,81.2
Stephania Tobón AguirreF30-34,CO,#708,43,163,1120,48:37:00,3:06:35,2:17:14,6:19:35,87.9
Johanna GarciaF30-34,CO,#651,76,276,1517,53:57:00,3:27:45,2:22:57,6:57:13,82.7
Adriana Lucia PalominoF30-34,CO,#689,24,77,710,41:59:00,2:57:38,2:03:20,5:51:25,92.3
Karina Julio SolanaF30-34,CO,#542,53,203,1278,58:48:00,3:08:07,2:15:08,6:32:34,86.1
Zimri Zamora VillegasF30-34,CR,#719,87,304,1588,47:59:00,3:24:15,2:43:08,7:07:09,81.4
Ana MendezF30-34,CO,#491,56,212,1305,48:22:00,3:16:43,2:18:20,6:35:04,85.7
Nibal NemeF30-34,CO,#686,46,177,1178,42:37:00,3:24:06,2:08:45,6:24:57,87.2
Tatiana Del Pilar Garcia PosadaF30-34,CO,#655,69,250,1428,39:13:00,4:11:19,1:47:32,6:46:45,84.1
Gabriela Lopez RovirosaF30-34,MX,#672,11,46,502,40:43:00,3:01:33,1:50:00,5:37:36,94.7
Mary MontenegroF30-34,CO,#680,105,358,1710,51:37:00,3:22:52,3:09:32,7:31:21,78.4
Julieta CampuzanoF30-34,CO,#630,41,153,1092,55:54:00,3:03:50,2:07:04,6:17:18,88.3
Beatriz Alicia Prada VillegasF30-34,CO,#692,67,244,1411,49:15:00,3:22:04,2:22:42,6:44:17,84.4
Lorena MansurF30-34,CO,#674,45,167,1137,40:27:00,2:54:15,2:37:18,6:21:10,87.7
Maria Jose BermudezF30-34,CO,#627,9,33,371,41:49:00,2:43:50,1:56:55,5:28:15,96.3
Andrea Tatiana Avila CaroF30-34,CO,#624,6,26,308,31:58:00,2:50:53,1:54:21,5:22:03,97.4
Paola GuarnizoF30-34,CO,#659,40,147,1071,45:09:00,3:00:46,2:21:51,6:15:26,88.6
Paola AcostaF30-34,CO,#620,37,132,975,42:16:00,3:02:15,2:10:40,6:08:38,89.6
Leidy Diaz GarciaF30-34,CO,#643,49,191,1224,53:54:00,3:02:19,2:20:32,6:28:05,86.7
Marcela GarciaF30-34,CO,#653,92,319,1625,55:23:00,3:14:11,2:55:36,7:14:17,80.5
Verónica GarciaF30-34,CO,#84,8,31,344,36:17:00,2:38:29,2:06:25,5:26:29,96.6
Nolwenn LelièvreF30-34,FR,#670,28,96,795,41:02:00,3:04:54,2:04:09,5:57:03,91.4
Laura Muñoz CastroF30-34,CO,#684,107,370,1733,52:13:00,3:34:57,2:49:19,7:39:17,77.5
Maria Veronica Rodriguez BetancurF30-34,CO,#698,109,380,1753,1:01:35,4:04:13,2:26:49,7:45:49,76.8
Leydi Albarracin CantorF30-34,CO,#621,63,229,1356,55:41:00,3:13:24,2:15:24,6:40:15,85
Camila CardonaF30-34,CO,#631,95,327,1643,57:57:00,3:44:54,2:21:44,7:18:11,80
Sandra ViedaF30-34,CO,#716,98,337,1674,52:26:00,3:39:42,2:40:58,7:23:53,79.3
Hasbleidy Vanessa Lozada VanegasF30-34,CO,#673,57,214,1310,54:13:00,3:03:42,2:24:39,6:35:24,85.7
Yasmin Osorio QuinteroF30-34",CO,#688,2,17,203,33:20:00,2:42:37,1:50:18,5:11:12,99.4
María RuedaF30-34,CO,#699,55,210,1302,50:45:00,3:12:41,2:25:00,6:34:43,85.8
Lina AcevedoF30-34,CO,#259,65,233,1363,45:29:00,3:10:57,2:32:42,6:40:37,84.9
Johana BlandónF30-34,CO,#629,35,125,950,49:16:00,3:22:03,1:46:02,6:06:52,89.9
Estefania VillegasF30-34,CO,#718,20,68,684,45:51:00,3:01:41,1:55:35,5:49:45,92.6
Maria Alejandra Benítez TrujilloF30-34,CO,#83,5,22,274,32:58:00,2:43:40,1:54:31,5:18:31,98.1
Diana NinoF30-34,CO,#2097,111,394,1790,1:05:20,4:09:21,3:00:03,8:26:07,72.4
Gretel JordanF30-34,CO,#667,59,221,1335,50:49:00,3:15:25,2:22:09,6:37:53,85.3
Steffany EscobarF30-34,CO,#646,62,228,1355,47:42:00,3:13:19,2:28:38,6:40:13,85
Maria Alejandra Arias MontoyaF30-34,CO,#623,26,88,748,46:39:00,2:58:35,1:59:50,5:53:44,92
Liliana GutierrezF30-34,CO,#660,33,113,887,47:53:00,2:58:21,2:07:57,6:03:20,90.4
Shamira ClaraF30-34,NL,#638,39,141,1033,48:00:00,3:05:06,2:10:17,6:12:16,89
Sioni VelardeF30-34,BO,#713,112,396,1796,1:05:07,4:08:01,3:19:46,8:58:08,69.4
Lady Andrea Blanco PimientoF30-34,CO,#628,61,226,1346,47:24:00,3:12:38,2:29:39,6:38:40,85.2
Michelle HoF30-34,PA,#663,81,287,1546,53:18:00,3:35:27,2:21:35,7:01:52,82.1
Ana Maria Mejia ManceraF30-34,CO,#677,44,165,1127,55:44:00,3:11:12,2:06:59,6:20:01,87.9
Lilibeth Morales RodríguezF30-34,CO,#683,68,249,1426,58:44:00,3:19:57,2:16:53,6:46:04,84.2
Diana Licia Galvis OrtizF30-34,CO,#650,108,375,1744,53:34:00,3:47:10,2:43:22,7:42:00,77.2
Daniela CordobaF30-34,CO,#640,23,74,694,43:55:00,2:54:51,2:02:37,5:50:16,92.5
Sandra Garcia NeiraF30-34,CO,#654,78,281,1529,1:02:07,3:23:24,2:20:56,6:57:54,82.6
Carolina Silva JaramilloF30-34,CO,#705,34,118,918,45:27:00,3:06:15,2:02:45,6:04:43,90.2
Kerly PongutáF30-34,CO,#691,71,259,1464,51:05:00,3:21:58,2:27:20,6:50:23,83.6
Laura CepedaF30-34,CO,#636,83,291,1565,56:20:00,3:20:34,2:38:34,7:04:11,81.8
Lyda Escobar RodriguezF30-34,CO,#647,42,160,1114,48:05:00,3:02:06,2:20:59,6:18:44,88.1
Alessandra RuizF30-34,CO,#701,13,48,510,35:21:00,3:01:59,1:54:24,5:38:12,94.6
Stephany Michel Castro SerranoF30-34,PA,#635,100,347,1693,54:48:00,3:58:50,2:23:43,7:27:46,78.9
Monica Martinez MartinaF30-34,CO,#676,94,321,1627,44:55:00,3:22:00,2:54:11,7:15:17,80.4
Estefania Lomeli AranaF30-34,MX,#671,18,66,681,48:42:00,2:45:47,2:06:58,5:49:30,92.7
Angela JimenezF30-34,CO,#665,58,218,1322,46:39:00,3:10:57,2:32:07,6:36:12,85.5
Juliana GarciaF30-34,CO,#652,16,55,593,38:13:00,2:50:43,2:07:42,5:43:10,93.7
Yessica SuarezF30-34,VE,#706,51,198,1254,43:10:00,3:09:49,2:30:42,6:30:20,86.4
Maria Paula Monroy SuarezF30-34,CO,#260,79,283,1534,50:58:00,3:30:22,2:26:46,6:59:06,82.4
Natalia CastroF30-34,CO,#634,17,64,675,44:44:00,2:59:45,1:59:15,5:49:03,92.7
Laura M Suárez JiménezF30-34,CO,#707,101,349,1696,55:18:00,3:41:37,2:38:15,7:28:12,78.8
Lina VeraF30-34,CO,#715,21,69,685,58:07:00,2:50:25,1:52:22,5:49:47,92.6
Jenny Vanessa Castillo RuizF30-34,CO,#633,90,310,1602,46:18:00,3:26:05,2:44:13,7:09:11,81.1
Nataly Alejandra Sepulveda OquendoF30-34,CO,#704,60,223,1342,52:13:00,2:56:46,2:38:32,6:38:18,85.2
Laura TovarF30-34,CO,#709,54,205,1283,45:12:00,3:16:52,2:18:46,6:32:48,86
Catalina BarrientosF30-34,CO,#625,30,103,820,45:10:00,2:56:26,2:08:31,5:58:06,91.3
Wanda Ruiz PietrangeliF30-34",VE,#86,3,19,218,39:32:00,2:40:43,1:46:53,5:13:00,99.1
Sandra BayonaF30-34,CO,#626,99,340,1681,42:50:00,3:12:31,3:19:57,7:25:02,79.2
Georgina Rangel BangF30-34,MX,#694,84,299,1579,48:41:00,3:20:58,2:40:37,7:05:38,81.6
Johanna LeivaF30-34,CO,#669,75,272,1495,1:04:44,3:06:04,2:33:29,6:54:48,83
Daniela Trujillo DiazF30-34,CO,#261,66,240,1395,39:12:00,3:12:26,2:37:42,6:42:22,84.7
Ceimy MartínezF30-34,CO,#675,88,307,1596,59:03:00,3:48:22,2:09:41,7:08:11,81.3
Catalina GuevaraF30-34,CO,#85,4,21,247,42:52:00,2:42:49,1:45:04,5:16:33,98.4
Maria Alejandra Barco JimenezF30-34,CO,#2040,72,263,1475,53:18:00,3:18:20,2:29:56,6:52:06,83.4
Angélica GutiérrezF30-34,CO,#661,15,53,544,43:19:00,2:55:41,1:53:12,5:39:35,94.3
MERY ANN RICOF30-34,CO,#696,77,279,1526,47:31:00,3:11:29,2:42:51,6:57:37,82.6
Maria Fernanda Angarita CalderonF30-34,CO,#622,96,330,1648,50:35:00,3:34:41,2:44:28,7:19:16,79.9
Christina RuggieroF30-34,US,#700,91,314,1608,49:11:00,3:31:50,2:37:03,7:10:44,80.9
