Name,,,Div.,Gen.,Ovr.,Swim,Bike,Run,Overall,DPI
Gustavo Gabriel VanoliM35-39,AR,#426,34,171,193,38:55:00,3:19:47,1:55:44,6:04:17,82.2
Francisco GuevaraM30-34,CL,#154,7,30,34,32:48:00,2:41:37,1:31:40,4:52:27,94.7
Luis ChamorroM40-44,AR,#638,26,142,162,34:12:00,3:14:38,1:55:24,5:54:30,83.2
Fernando MarinM40-44,AR,#488,9,72,80,31:37:00,2:49:23,1:53:50,5:22:13,88.6
Danilo FlorencioM35-39,BR,#416,58,270,310,48:03:00,3:43:12,2:18:31,7:04:19,74
Hans Christian TungesvikMPRO,NO,#14,7,7,7,29:53:00,2:28:51,1:20:46,4:22:50,95.5
Guillermo KonecnyM45-49,AR,#176,36,186,211,48:59:00,3:10:48,2:02:15,6:10:11,82.8
Jenna StrahanF30-34,US,#248,5,32,280,43:29:00,3:38:44,2:09:16,6:45:31,87.8
Carlos Daniel PareyraM40-44,AR,#491,55,319,373,43:38:00,3:53:16,3:20:01,8:10:32,66.2
Fernando MuñozM35-39,CL,#378,41,196,221,1:05:34,3:08:12,1:56:16,6:16:42,80.4
Ignacio SierraM35-39,CL,#407,32,159,179,42:02:00,3:12:57,1:55:20,5:58:41,83
Carlos EtcheverryM55-59",AR,#186,2,100,112,38:19:00,3:02:59,1:48:32,5:37:38,99
Cristian DucoM55-59,CL,#592,6,177,199,47:23:00,3:15:31,1:55:40,6:05:17,94.3
Ruben CoploM30-34,AR,#358,25,168,189,38:45:00,3:08:05,2:05:49,6:01:53,82.4
Ricardo Vicente PannunzioM55-59,AR,#604,12,291,338,54:31:00,3:38:04,2:34:14,7:22:01,83.3
Carlos Facundo OviedoM30-34,AR,#330,45,303,351,44:12:00,3:54:20,2:43:02,7:35:18,70.1
Ricardo AsquinaziM65-69",AR,#620,2,294,342,54:07:00,3:43:58,2:40:39,7:25:45,90.5
Leonardo MagriniM50-54,AR,#574,12,104,117,31:54:00,3:04:06,1:54:35,5:39:03,91.6
Henrique AlvesM35-39,BR,#394,37,179,201,38:24:00,3:02:50,2:13:41,6:06:09,81.9
Alejandro RovitoM45-49,AR,#509,51,247,277,42:52:00,3:55:58,1:55:25,6:43:10,78.1
Gustavo MartinezM50-54,AR,#575,31,306,354,44:06:00,3:41:25,2:53:03,7:37:45,75.1
Dennis ArcendigaM35-39,CL,#397,59,272,312,39:53:00,4:01:36,2:08:10,7:04:53,74
Geronimo Suarez GonzalezM25-29,CL,#326,7,121,138,28:36:00,2:55:47,2:17:36,5:46:09,88.6
Daniel Oscar PourtaleM50-54,AR,#568,11,93,105,33:27:00,2:57:32,1:55:30,5:32:50,92.7
Pablo Andres UriaM45-49,AR,#519,18,117,133,37:49:00,2:52:21,2:04:40,5:44:28,86.9
Pablo LuzuriagaM50-54,AR,#181,19,193,218,47:10:00,3:19:12,1:58:28,6:13:36,86.1
Fernando SirioM30-34,AR,#156,6,25,29,31:59:00,2:41:23,1:30:34,4:48:41,95.5
Tomas GortariM40-44,AR,#205,28,146,166,39:39:00,3:17:17,1:50:13,5:55:17,83
Juliana Da Costa LustosaF40-44,BR,#138,8,28,243,45:31:00,3:21:11,2:07:10,6:25:05,89.6
Julia CalogeropulosF40-44,AR,#106,4,13,114,37:02:00,3:04:17,1:50:34,5:37:59,97
José UriburuM35-39,AR,#230,42,201,226,37:23:00,3:07:09,2:26:08,6:18:44,80.1
Fabio CorzoM35-39,AR,#398,23,109,123,40:34:00,3:04:32,1:49:16,5:40:52,85.9
Nestor Ruben PerezM25-29,AR,#322,4,60,66,34:33:00,2:52:10,1:41:55,5:14:09,94.1
Rodrigo UrzainquiM35-39,AR,#198,14,68,76,39:03:00,2:49:57,1:45:45,5:19:49,89.5
Carlos ZapanaM40-44,AR,#480,52,310,361,42:10:00,4:04:52,2:54:01,7:50:05,68.3
Pablo ReyesM45-49,UY,#212,25,143,163,37:23:00,3:13:11,1:57:07,5:54:37,85.2
Pablo DuranteM50-54",AR,#130,2,42,47,30:57:00,2:46:21,1:39:25,5:01:35,98.4
Marcelo EspañaM40-44,CL,#462,34,165,186,44:06:00,3:03:27,2:05:27,6:01:16,82.1
Francisco ValdésM40-44,CL,#459,47,255,289,1:03:02,3:30:49,2:05:02,6:50:04,75.3
Claudio Dante SciardisM60-64",AR,#610,3,231,261,41:48:00,3:30:52,2:08:59,6:35:30,90.5
Sebastian Exequiel Pacheco VelizM30-34,AR,#331,29,197,222,50:44:00,3:11:04,2:08:20,6:17:25,80
Andres Lo BiancoM35-39,AR,#400,55,261,298,38:56:00,4:03:53,2:05:18,6:57:27,74.9
Daniel FerreiroM55-59,AR,#599,14,300,348,1:04:51,3:54:21,2:18:04,7:32:21,82
Gabriela Fernanda GodoyF40-44,AR,#275,13,46,329,55:52:00,4:01:05,2:14:33,7:19:06,82.4
Guillermo Zambrano MendozaM30-34,EC,#195,14,61,67,31:53:00,2:57:33,1:38:38,5:14:16,90.4
Matías CánepaM45-49,AR,#497,49,224,252,47:54:00,3:28:02,2:03:36,6:29:21,80
Juan Jose RiveraM45-49,AR,#508,27,148,168,36:17:00,3:06:05,2:03:29,5:55:36,85.1
Marcelo Humberto PerrettaM60-64,AR,#614,5,275,316,51:50:00,3:32:51,2:32:49,7:08:42,85.9
Tomas Alejandro LabourtM35-39,AR,#383,51,232,262,44:23:00,3:32:40,2:06:33,6:35:57,77.7
Nestor Fernando RinaldiM40-44,AR,#476,5,44,49,31:39:00,2:50:57,1:32:58,5:02:32,92.2
Poletto Juan IgnacioM45-49,AR,#500,44,209,235,42:03:00,3:22:33,2:04:57,6:22:57,80.9
Juan Ignacio BeltranM35-39,AR,#45,17,76,84,40:18:00,2:51:25,1:47:47,5:25:18,88.5
Guido AlvarezM40-44,AR,#481,50,292,340,46:07:00,4:14:53,2:12:46,7:22:26,71.3
Amado Ramon LabriolaM50-54,AR,#180,17,184,208,43:25:00,3:15:27,2:02:07,6:09:09,86.8
Carlos Echeverría LuengoM35-39,CL,#429,7,45,50,36:05:00,2:45:15,1:36:54,5:03:30,92.5
Leandro QuintanilhaM35-39,BR,#430,20,87,99,31:29:00,3:00:28,1:46:47,5:30:29,87.6
Sebastian ArrigoniM30-34,AR,#363,24,151,171,43:11:00,3:13:51,1:49:09,5:56:06,83.3
Edgardo Martín Nessi ArmenaultM40-44,AR,#242,33,163,183,41:43:00,3:22:46,1:45:38,6:00:11,82.3
Jose Antonio AlzarazM35-39,AR,#395,35,173,195,43:57:00,3:05:01,2:05:42,6:04:43,82.1
Angel Gustavo SanchezM50-54,AR,#584,23,239,269,53:40:00,3:22:15,2:13:10,6:39:06,82.5
Lorena FarinaF40-44,AR,#623,6,17,136,42:55:00,3:03:50,1:50:41,5:45:06,95.8
Martin Lopez FilloyM45-49,AR,#514,56,271,311,42:41:00,3:49:21,2:16:59,7:04:36,75.4
Armando CrespoM60-64,AR,#615,4,263,300,48:07:00,3:28:20,2:29:06,6:58:02,87.3
Diego Sanchez CabezudoM50-54,AR,#131,5,67,74,35:56:00,2:52:38,1:43:25,5:17:28,95.4
Ruben VaudagnotoM55-59,AR,#595,13,296,344,35:14:00,3:46:48,2:50:14,7:28:35,82.4
David L. PrestonM60-64",US,#617,2,152,172,37:39:00,3:14:12,1:52:53,5:57:35,96.3
Roxana IannoneF55-59",AR,#296,1,41,313,45:20:00,3:36:05,2:33:35,7:05:10,100
Hiro FujimoriM40-44,JP,#167,37,190,215,42:03:00,3:17:32,2:00:46,6:11:40,80.6
Leonardo MartellottoM35-39,AR,#433,8,50,55,34:18:00,2:52:47,1:34:45,5:06:29,91.9
Pablo Agustin FlorensaM45-49,AR,#499,8,41,46,29:20:00,2:47:09,1:39:28,5:01:11,94.7
