Name,,,Div.,Gen.,Ovr.,Swim,Bike,Run,Overall,DPI
Marcelo BenincasaM45-49,AR,#921,122,767,900,38:52:00,3:00:35,2:26:27,6:13:40,79.9
Dario PalmeroM45-49,AR,#174,30,245,264,37:34:00,2:30:33,1:47:43,5:00:54,91.9
Claudio WajdowiczM30-34,BR,#557,20,145,157,34:17:00,2:30:28,1:37:10,4:47:21,94.2
Lucas GóesM18-24,BR,#504,16,736,861,42:23:00,2:56:18,2:20:24,6:07:06,78.3
Kenned FilhoM35-39,BR,#1301,14,60,65,29:07:00,2:21:28,1:36:58,4:31:28,96.3
Javier BravoM30-34,ES,#618,45,301,332,39:33:00,2:41:27,1:38:23,5:09:52,89.9
Martin Alejandro Prieto PalaciosM25-29,PY,#531,25,267,290,37:57:00,2:32:34,1:50:34,5:05:30,89.7
Luciano DumraufM30-34,AR,#604,12,93,102,35:24:00,2:25:09,1:33:54,4:38:41,96
Paulo CarattiM45-49,AR,#1273,64,433,494,40:17:00,2:44:22,1:53:42,5:24:12,87.6
Euripedes Ferreira Dos Santos JuniorM50-54,BR,#1074,98,897,1084,47:44:00,3:12:51,3:07:14,7:15:55,74.3
Santiago Ignacio GilgesM40-44,AR,#321,121,485,556,39:34:00,2:45:00,1:59:45,5:30:26,86
Ruben Alberto SayesM35-39,AR,#1175,82,347,385,37:50:00,2:52:14,1:37:55,5:15:05,87.9
Sebastian OstertagM30-34,AR,#631,8,68,74,28:26:00,2:25:56,1:36:22,4:34:09,96.9
Martin Facundo FerrariM45-49,AR,#901,26,225,243,37:19:00,2:37:38,1:39:22,4:59:06,92.2
Mili SierraF25-29,AR,#365,10,181,1051,54:33:00,3:27:51,2:25:21,6:54:23,80.9
Juan Di PaoloM30-34,AR,#1399,75,539,618,39:29:00,2:45:24,2:08:47,5:37:43,85.1
Lorenzo TruningerM50-54,AR,#1026,60,678,787,39:36:00,3:03:08,2:06:47,5:57:23,84.9
Joaquin BasombrioM45-49,AR,#920,109,706,819,39:59:00,2:58:12,2:08:12,6:00:57,81.7
Emanuel FernandezM40-44,AR,#256,94,398,449,38:54:00,2:47:49,1:47:09,5:19:35,87.8
"Eduardo, Andrés López SeguraM35-39",AR,#657,143,642,742,34:55:00,2:58:35,2:08:40,5:51:52,81.8
Eduardo GuidaM30-34,BR,#563,67,478,549,40:10:00,2:41:11,2:03:02,5:29:32,86.5
Ronaldo GuilhermeM35-39,BR,#750,74,328,361,39:02:00,2:41:49,1:41:25,5:12:51,88.3
Sebastian Eduardo Oller AlonsoM45-49,AR,#1337,29,242,261,35:58:00,2:34:16,1:45:37,5:00:48,91.9
Alfredo AltunaM40-44,AR,#265,119,480,551,45:43:00,2:47:39,1:49:22,5:30:03,86
Dany LongoM50-54,AR,#166,56,653,754,36:05:00,3:04:52,2:02:52,5:53:15,85.5
Maria Ana Gonzalez HrenF50-54,AR,#474,15,148,941,43:08:00,3:10:43,2:15:40,6:21:51,88.7
jorge salgado moralesM40-44,CL,#184,91,390,439,41:52:00,2:43:52,1:46:34,5:18:51,88
Juan OlascoagaM55-59,UY,#1111,22,517,593,40:38:00,2:51:07,1:54:00,5:35:01,88.2
German MaschwitzM40-44,AR,#1243,154,622,720,39:03:00,3:01:38,2:01:29,5:50:04,82.8
Sebastian ValesM30-34,UY,#582,10,84,91,37:09:00,2:26:37,1:29:16,4:37:04,96.3
Des ByrneM55-59,GB,#303,9,322,355,38:05:00,2:37:06,1:51:51,5:12:22,92.1
Tania GutiérrezF30-34,PE,#298,30,121,848,46:10:00,3:10:27,2:02:05,6:05:25,84
Daniel GaroneM30-34,AR,#608,42,255,276,28:48:00,2:36:07,1:53:27,5:03:47,91.1
Laura FontanaF45-49,AR,#1304,24,112,803,36:46:00,3:09:38,2:03:36,5:58:51,89.9
Ezequiel CanepaM40-44,AR,#851,175,733,857,37:36:00,3:06:54,2:12:54,6:06:29,80.4
Pablo VitaleM45-49,AR,#1380,82,578,662,41:07:00,2:50:11,2:04:58,5:43:13,84.5
Alexandre DemarchiM45-49,BR,#924,134,817,977,41:33:00,2:59:56,2:41:23,6:30:49,77.5
Felipe QuetiM45-49,AR,#1344,45,329,362,40:19:00,2:40:30,1:44:58,5:13:15,89.6
Gonzalo HernandezM45-49,AR,#50,138,840,1015,1:00:05,3:25:38,2:04:51,6:41:51,76
Ariel Alejandro CalcagnoM40-44,AR,#797,136,544,624,34:41:00,3:01:57,1:53:09,5:38:21,84.7
Diego RuaM50-54,AR,#230,6,149,161,35:35:00,2:29:04,1:39:40,4:49:07,96.8
Alvaro GonzalezM60-64,UY,#1120,17,921,1119,46:13:00,3:40:09,3:09:30,8:07:28,77.8
Felipe SepulvedaM18-24,BR,#506,15,659,763,40:27:00,2:36:38,2:31:53,5:54:27,80.2
Patricia FernandezF45-49,AR,#445,4,35,375,47:19:00,2:38:48,1:42:48,5:14:21,97.2
Juan RovitoM35-39,AR,#758,179,837,1011,47:35:00,3:17:22,2:24:07,6:41:12,74.9
Santiago ReboulM25-29,AR,#108,16,168,181,34:50:00,2:39:06,1:32:17,4:51:07,92.3
Juan de LeonM35-39,UY,#1287,61,277,301,39:00:00,2:33:47,1:49:25,5:06:56,89.3
Amy KilpinF30-34",GB,#385,1,7,76,31:59:00,2:26:11,1:31:58,4:34:21,99.8
Francisco Garcia EncisoM40-44,AR,#777,180,765,897,37:37:00,3:03:08,2:14:01,6:13:10,79.4
Jorge BenitezM45-49,AR,#945,148,881,1064,49:08:00,3:09:34,2:52:05,7:00:16,73.7
Federico Acuña SeeryM30-34,AR,#1395,71,522,598,38:21:00,2:57:18,1:53:14,5:35:12,85.6
Horacio CorderoM55-59,AR,#1107,29,657,761,41:39:00,3:06:54,1:55:45,5:54:23,85.1
Facundo CamañoM40-44,AR,#1198,152,609,703,40:28:00,2:57:11,2:02:31,5:47:41,83.2
Emiliano SpinosoM35-39,AR,#687,171,799,953,43:21:00,3:09:27,2:21:41,6:24:04,77.2
Octavio GasparM50-54,AR,#1037,93,871,1052,48:49:00,3:02:13,2:48:36,6:54:44,76.9
Micaela BacaloF30-34,AR,#368,34,156,955,45:59:00,3:13:34,2:19:04,6:24:33,81.3
Luiz CattapretaM45-49,BR,#948,11,102,112,27:54:00,2:31:04,1:36:22,4:39:38,96.1
Eduardo BuscacioM30-34,BR,#619,7,49,53,33:15:00,2:25:09,1:25:52,4:28:38,98.1
Jackie XydiasF50-54,AR,#197,16,159,969,52:54:00,2:58:58,2:23:16,6:28:10,87.8
Alexandro AyalaM40-44,UY,#112,19,90,99,34:54:00,2:27:14,1:31:43,4:38:11,95.7
Francisco RoselloM45-49,AR,#955,41,307,338,36:43:00,2:36:01,1:53:27,5:10:48,90
Miguel SolaroM30-34,AR,#581,49,320,353,36:58:00,2:48:56,1:39:25,5:12:16,89.5
Juan Sebastián WinkhausM35-39,AR,#1157,183,885,1068,39:32:00,3:35:32,2:36:52,7:03:40,72.2
Patricio BuquetM35-39,AR,#274,155,697,809,35:33:00,2:52:52,2:22:40,5:59:38,80.7
Luis CuevasM35-39,CO,#719,101,432,493,44:04:00,2:36:42,1:57:53,5:24:06,86.3
22. mauro Ezequiel Rasja LopezM30-34,AR,#1189,86,606,698,36:46:00,2:51:12,2:13:31,5:47:19,83.6
Rodrigo Marcovich RossoniM35-39,BR,#725,72,321,354,44:48:00,2:44:04,1:38:06,5:12:19,88.3
José Ramón Lanusse FreixasM40-44,AR,#323,171,718,835,45:55:00,3:05:47,2:00:12,6:03:14,80.8
Bruno LunardiM30-34,BR,#569,46,306,337,37:15:00,2:41:38,1:46:02,5:10:37,89.8
Joan AlvarezM35-39,VE,#737,170,795,946,32:52:00,3:06:34,2:37:02,6:22:47,77.4
Federico MarcolongoM45-49,AR,#326,85,605,695,37:29:00,3:01:01,2:00:26,5:46:59,83.9
Martin UlloaMPRO,CL,#16,4,4,4,23:02,2:08:52,1:11:22,3:45:52,98
Carlos Nicolas Infante LópezM45-49,AR,#929,74,509,582,40:02:00,2:50:11,1:56:54,5:33:59,86
Manuela BerardiF18-24,AR,#358,6,89,692,39:10:00,3:08:55,1:53:46,5:46:42,87.1
Leandro FelippeM35-39,AR,#722,37,158,170,37:19:00,2:29:38,1:38:42,4:49:50,92.5
Juan Manuel VaninaM40-44,AR,#191,51,213,230,34:30:00,2:28:21,1:48:43,4:56:36,92
Javier AristiM40-44,AR,#848,137,546,626,39:39:00,2:51:07,1:59:02,5:38:48,84.6
Luciano PlanasM35-39,AR,#702,153,692,804,37:58:00,2:59:54,2:10:31,5:59:02,80.8
Julio PironioM55-59,AR,#1104,46,912,1107,47:22:00,3:36:19,2:59:23,7:36:53,71.9
Pablo VerdunM50-54,AR,#1050,70,755,884,40:45:00,3:19:12,1:57:46,6:10:17,83
Alberto GaleanoM35-39,AR,#1241,96,411,469,46:14:00,2:43:02,1:47:06,5:21:08,86.8
